,Poll,Date,Sample,MoE,Clinton,Sanders,O'Malley,Spread,Days_Out
74,CNN,2014-09-10,309.0,5.5,53.0,5,2,Clinton +38,509.0
75,Suffolk University,2014-08-26,191.0,7.1,66.0,--,2,Clinton +56,524.0
76,PPP(D),2014-05-19,356.0,5.2,59.0,--,1,Clinton +47,623.0
77,Vox Populi,2014-04-24,,--,71.0,--,1,Clinton +58,648.0
78,Suffolk University,2014-04-08,135.0,8.4,63.0,--,--,Clinton +51,664.0
79,PPP(D),2014-02-23,335.0,5.4,67.0,--,0,Clinton +55,708.0
80,Harper (R),2014-11-24,308.0,5.6,71.0,--,1,Clinton +60,434.0
81,PPP(D),2014-07-07,260.0,6.1,71.0,--,1,Clinton +59,574.0
82,PPP(D),2014-02-03,313.0,5.5,68.0,--,0,Clinton +47,728.0
83,Harper (R),2014-01-29,,--,65.0,--,--,Clinton +51,733.0
84,PPP(D),2014-07-15,416.0,4.8,60.0,--,0,Clinton +42,566.0
85,PPP(D),2014-05-06,335.0,5.4,62.0,--,1,Clinton +48,636.0
